Time,TP,Total_Bits,Total_Packets,Packet_Sizes,Packet_Times,IPGs
98,3888.0,3888,6,"[54, 56, 60, 98, 165, 53]","[1654008833.463268, 1654008833.66185, 1654008833.691615, 1654008833.741357, 1654008833.741837, 1654008833.913209]","[0.193995, 0.198582, 0.029765, 0.049742, 0.00048, 0.171372]"
99,0.0,0,0,[],[],[]
100,0.0,0,0,[],[],[]
101,0.0,0,0,[],[],[]
102,0.0,0,0,[],[],[]
103,0.0,0,0,[],[],[]
104,0.0,0,0,[],[],[]
105,0.0,0,0,[],[],[]
106,0.0,0,0,[],[],[]
107,0.0,0,0,[],[],[]
108,0.0,0,0,[],[],[]
109,0.0,0,0,[],[],[]
110,0.0,0,0,[],[],[]
111,0.0,0,0,[],[],[]
112,0.0,0,0,[],[],[]
113,0.0,0,0,[],[],[]
114,0.0,0,0,[],[],[]
115,0.0,0,0,[],[],[]
116,2064.0,2064,4,"[56, 96, 53, 53]","[1654008851.946742, 1654008852.063945, 1654008852.069559, 1654008852.127968]","[18.033533, 0.117203, 0.005614, 0.058409]"
117,0.0,0,0,[],[],[]
118,0.0,0,0,[],[],[]
119,0.0,0,0,[],[],[]
120,0.0,0,0,[],[],[]
121,0.0,0,0,[],[],[]
122,0.0,0,0,[],[],[]
123,0.0,0,0,[],[],[]
124,0.0,0,0,[],[],[]
125,0.0,0,0,[],[],[]
126,38528.0,38528,14,"[1278, 1278, 650, 54, 120, 57, 997, 53, 53, 53, 55, 62, 53, 53]","[1654008861.7279, 1654008861.807374, 1654008861.807542, 1654008861.807652, 1654008861.861197, 1654008861.878756, 1654008862.033229, 1654008862.033754, 1654008862.096093, 1654008862.12411, 1654008862.135827, 1654008862.248077, 1654008862.25606, 1654008862.289706]","[9.599932, 0.079474, 0.000168, 0.00011, 0.053545, 0.017559, 0.154473, 0.000525, 0.062339, 0.028017, 0.011717, 0.11225, 0.007983, 0.033646]"
127,0.0,0,0,[],[],[]
128,0.0,0,0,[],[],[]
129,0.0,0,0,[],[],[]
130,0.0,0,0,[],[],[]
131,0.0,0,0,[],[],[]
132,0.0,0,0,[],[],[]
133,0.0,0,0,[],[],[]
134,0.0,0,0,[],[],[]
135,0.0,0,0,[],[],[]
136,0.0,0,0,[],[],[]
137,2056.0,2056,4,"[56, 95, 53, 53]","[1654008872.949226, 1654008873.005951, 1654008873.011367, 1654008873.061629]","[10.65952, 0.056725, 0.005416, 0.050262]"
138,0.0,0,0,[],[],[]
139,0.0,0,0,[],[],[]
140,0.0,0,0,[],[],[]
141,0.0,0,0,[],[],[]
142,0.0,0,0,[],[],[]
143,0.0,0,0,[],[],[]
144,0.0,0,0,[],[],[]
145,0.0,0,0,[],[],[]
146,2072.0,2072,4,"[56, 97, 53, 53]","[1654008881.94795, 1654008882.062666, 1654008882.067464, 1654008882.131777]","[8.886321, 0.114716, 0.004798, 0.064313]"
147,0.0,0,0,[],[],[]
148,0.0,0,0,[],[],[]
149,0.0,0,0,[],[],[]
150,0.0,0,0,[],[],[]
151,0.0,0,0,[],[],[]
152,0.0,0,0,[],[],[]
153,2072.0,2072,4,"[56, 97, 53, 53]","[1654008888.823172, 1654008888.914146, 1654008888.914463, 1654008889.053765]","[6.691395, 0.090974, 0.000317, 0.139302]"
154,0.0,0,0,[],[],[]
155,0.0,0,0,[],[],[]
156,0.0,0,0,[],[],[]
157,0.0,0,0,[],[],[]
158,0.0,0,0,[],[],[]
159,0.0,0,0,[],[],[]
160,0.0,0,0,[],[],[]
161,0.0,0,0,[],[],[]
162,0.0,0,0,[],[],[]
163,0.0,0,0,[],[],[]
164,0.0,0,0,[],[],[]
165,0.0,0,0,[],[],[]
166,0.0,0,0,[],[],[]
167,0.0,0,0,[],[],[]
168,0.0,0,0,[],[],[]
169,0.0,0,0,[],[],[]
170,0.0,0,0,[],[],[]
171,0.0,0,0,[],[],[]
172,0.0,0,0,[],[],[]
173,0.0,0,0,[],[],[]
174,0.0,0,0,[],[],[]
175,0.0,0,0,[],[],[]
176,0.0,0,0,[],[],[]
177,2056.0,2056,4,"[56, 95, 53, 53]","[1654008912.953609, 1654008913.007625, 1654008913.007747, 1654008913.063816]","[23.899844, 0.054016, 0.000122, 0.056069]"
178,0.0,0,0,[],[],[]
179,0.0,0,0,[],[],[]
180,0.0,0,0,[],[],[]
181,0.0,0,0,[],[],[]
182,0.0,0,0,[],[],[]
183,0.0,0,0,[],[],[]
184,0.0,0,0,[],[],[]
185,0.0,0,0,[],[],[]
186,2072.0,2072,4,"[56, 97, 53, 53]","[1654008921.9695, 1654008922.107806, 1654008922.113212, 1654008922.145662]","[8.905684, 0.138306, 0.005406, 0.03245]"
187,0.0,0,0,[],[],[]
188,0.0,0,0,[],[],[]
189,0.0,0,0,[],[],[]
190,0.0,0,0,[],[],[]
191,0.0,0,0,[],[],[]
192,0.0,0,0,[],[],[]
193,0.0,0,0,[],[],[]
194,0.0,0,0,[],[],[]
195,0.0,0,0,[],[],[]
196,0.0,0,0,[],[],[]
197,0.0,0,0,[],[],[]
198,46544.0,46544,10,"[1278, 1278, 650, 54, 120, 57, 1278, 997, 53, 53]","[1654008933.732602, 1654008933.805924, 1654008933.811312, 1654008933.811411, 1654008933.852131, 1654008933.852223, 1654008933.921874, 1654008933.966744, 1654008933.971569, 1654008934.009893]","[11.58694, 0.073322, 0.005388, 9.9e-05, 0.04072, 9.2e-05, 0.069651, 0.04487, 0.004825, 0.038324]"
199,0.0,0,0,[],[],[]
200,0.0,0,0,[],[],[]
201,0.0,0,0,[],[],[]
202,0.0,0,0,[],[],[]
203,0.0,0,0,[],[],[]
204,0.0,0,0,[],[],[]
205,0.0,0,0,[],[],[]
206,0.0,0,0,[],[],[]
207,0.0,0,0,[],[],[]
208,0.0,0,0,[],[],[]
209,0.0,0,0,[],[],[]
210,0.0,0,0,[],[],[]
211,0.0,0,0,[],[],[]
212,0.0,0,0,[],[],[]
213,0.0,0,0,[],[],[]
214,0.0,0,0,[],[],[]
215,0.0,0,0,[],[],[]
216,0.0,0,0,[],[],[]
217,40872.0,40872,9,"[1278, 650, 54, 1278, 1278, 343, 53, 120, 55]","[1654008953.029733, 1654008953.116877, 1654008953.121686, 1654008953.129759, 1654008953.173665, 1654008953.185381, 1654008953.185498, 1654008953.19376, 1654008953.232616]","[19.01984, 0.087144, 0.004809, 0.008073, 0.043906, 0.011716, 0.000117, 0.008262, 0.038856]"
218,0.0,0,0,[],[],[]
219,0.0,0,0,[],[],[]
220,0.0,0,0,[],[],[]
221,0.0,0,0,[],[],[]
222,0.0,0,0,[],[],[]
223,0.0,0,0,[],[],[]
224,0.0,0,0,[],[],[]
225,0.0,0,0,[],[],[]
226,2288.0,2288,4,"[59, 121, 53, 53]","[1654008961.938804, 1654008962.054828, 1654008962.059434, 1654008962.116055]","[8.706188, 0.116024, 0.004606, 0.056621]"
227,0.0,0,0,[],[],[]
228,0.0,0,0,[],[],[]
229,0.0,0,0,[],[],[]
230,0.0,0,0,[],[],[]
231,0.0,0,0,[],[],[]
232,0.0,0,0,[],[],[]
233,0.0,0,0,[],[],[]
234,0.0,0,0,[],[],[]
235,0.0,0,0,[],[],[]
236,0.0,0,0,[],[],[]
237,0.0,0,0,[],[],[]
238,0.0,0,0,[],[],[]
239,0.0,0,0,[],[],[]
